actor;sex;movies;actorProductivity;topMovie;topMovieRevenue;totalRevenue;avRevenue;birthday;launchdateTopMovie;comingMovie;dateComingMovie;Height;bornInCity;bornInCountry;MarrialStatus;Children;Dead;comingEvents;comingMovie2;dateComingMovie2;comingMovie3;dateComingMovie3
Kim Basinger;Female;33;UpperSegment 31-74 movies;Batman;251;934;28;1953-12-08;1989-06-23;No info;No info;171;Athens;Georgia USA;Earlier;2;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Angela Bassett;Female;23;MiddleSegment 16-30 movies;Green Lantern;117;816;36;1958-08-16;2011-06-17;The Lazarus Child;to be annonced;No info;New York City;New York USA;1997;2;Alive;check herfra og op ad;Nothing but the truth;to be announced;No info;No info
Jason Bateman;Male;28;MiddleSegment 16-30 movies;Hancock;228;1495;53;1969-01-14;2008-07-02;Zootopia;2016-03-04;180;Rye;New York USA;2001;2;Alive;check herfra og op ad;No info;No info;No info;No info
Kathy Bates;Female;44;UpperSegment 31-74 movies;Titanic;659;2249;51;1948-06-28;1997-12-19;No info;No info;No info;Memphis;Tennessee USA;Earlier;No info;Alive;check herfra og op ad;No info;No info;No info;No info
Sean Bean;Male;29;MiddleSegment 16-30 movies;Fellowship of the Ring;316;1413;49;1959-04-17;2001-12-19;No info;No info;180;No info;No info;Earlier;3;Alive;check herfra og op ad;No info;No info;No info;No info
Kate Beckinsale;Female;21;MiddleSegment 16-30 movies;Pearl Harbor;199;999;48;1973-07-26;2001-05-25;The Disappointments Room;to be annonced;No info;London;Great Britain;2004;1;Alive;check herfra og op ad;Nothing but the truth;to be announced;No info;No info
Ashley Bell;Female;2;BeginnerSegment 1-2 movies;The Last Exorcism;41;56;28;1986-05-26;2010-08-27;No info;No info;No info;Santa Monica;California USA;No;No info;Alive;check herfra og op ad;No info;No info;No info;No info
Jamie Bell;Male;18;MiddleSegment 16-30 movies;King Kong;218;572;32;1986-03-14;2005-12-14;No info;No info;No info;Billingham;Great Britain;2012;No info;Alive;check herfra og op ad;No info;No info;No info;No info
Kristen Bell;Female;14;LowerSegment 3-15 movies;Frozen;401;733;52;1980-07-18;2013-11-22;No info;No info;155;Huntington Woods;Michigan USA;2013;2;Alive;check herfra og op ad;No info;No info;No info;No info
Lake Bell;Female;8;LowerSegment 3-15 movies;It's Complicated;113;336;42;1979-03-24;2009-12-25;No info;No info;No info;New York City;New York USA;2013;No info;Alive;check herfra og op ad;No info;No info;No info;No info
Maria Bello;Female;28;MiddleSegment 16-30 movies;Grown Ups;162;921;33;1967-04-18;2010-06-25;James Wan Presents Demonic;to be annonced;No info;Norristown;Pennsylvania USA;No;No info;Alive;check herfra og op ad;No info;No info;No info;No info
Monica Bellucci;Female;14;LowerSegment 3-15 movies;Passion of the Christ;371;828;59;1964-09-30;2004-02-25;The Wonders;2015-10-30;171;Citta di Castello;Italia;Earlier;2;Alive;check herfra og op ad;Spectre;2015-11-06;No info;No info
Roberto Benigni;Male;11;LowerSegment 3-15 movies;Life Is Beautiful;58;89;8;1952-10-27;1998-10-23;No info;No info;No info;Castiglion Fiorentino;Italia;1991;No info;Alive;check herfra og op ad;No info;No info;No info;No info
Annette Bening;Female;25;MiddleSegment 16-30 movies;American Beauty;130;599;24;1958-05-29;1999-09-15;No info;No info;No info;Topeka;Kansas USA;1992;4;Alive;check herfra og op ad;No info;No info;No info;No info
Melissa Benoist;Female;2;BeginnerSegment 1-2 movies;The Longest Ride;37;51;25;1988-10-04;2015-04-10;No info;No info;No info;Littleton;Colorado USA;2015;No info;Alive;check herfra og op ad;No info;No info;No info;No info
Peter Berg;Male;4;LowerSegment 3-15 movies;Collateral;101;168;42;1964-03-11;2004-08-06;No info;No info;No info;New York City;New York USA;Earlier;1;Alive;check herfra og op ad;No info;No info;No info;No info
Gael Garcia Bernal;Male;20;MiddleSegment 16-30 movies;Babel;34;104;5;1978-11-30;2006-10-27;No info;No info;168;Guadalajara;Mexico;No info;2;Alive;check herfra og op ad;No info;No info;No info;No info
Halle Berry;Female;29;MiddleSegment 16-30 movies;X-Men: The Last Stand;234;1857;64;1966-08-14;2006-05-26;Kidnap;2016-02-26;166;Cleveland;Ohio USA;2013;2;Alive;check herfra og op ad;No info;No info;No info;No info
Paul Bettany;Male;21;MiddleSegment 16-30 movies;Avengers: Age of Ultron;459;1304;62;1971-05-27;2015-05-01;Captain America: Civil War;2016-05-06;190;London;Great Britain;2003;3;Alive;check herfra og op ad;No info;No info;No info;No info
Justin Bieber;Male;2;BeginnerSegment 1-2 movies;Justin Bieber;73;79;40;1994-03-01;2011-02-11;No info;No info;175;London;Canada;No info;No info;Alive;check herfra og op ad;No info;No info;No info;No info
Jessica Biel;Female;22;MiddleSegment 16-30 movies;I Now Pronounce You Chuck and Larry;120;773;35;1982-03-03;2007-07-20;No info;No info;170;Ely;Minnesota USA;2012;1;Alive;check herfra og op ad;No info;No info;No info;No info
Rachel Bilson;Female;5;LowerSegment 3-15 movies;Jumper;80;95;19;1981-08-25;2008-02-14;No info;No info;157;Los Angeles;California USA;Partner;1;Alive;check herfra og op ad;No info;No info;No info;No info
Mike Binder;Male;2;BeginnerSegment 1-2 movies;The Upside of Anger;19;19;10;1958-06-02;2005-03-11;No info;No info;No info;Detroit;Michigan USA;Not registrered;No info;Alive;check herfra og op ad;No info;No info;No info;No info
Jack Black;Male;22;MiddleSegment 16-30 movies;King Kong;218;1393;63;1969-08-28;2005-12-14;Goosebumps;2015-10-16;168;Santa Monica;California USA;2006;No info;Alive;check herfra og op ad;Kung Fu Panda 3;2016-01-29;Master og time and space;to be announced
Lucas Black;Male;12;LowerSegment 3-15 movies;Furious 7;351;728;61;1982-11-29;2015-04-03;No info;No info;No info;Decatur;Alabama USA;2010;1;Alive;check herfra og op ad;No info;No info;No info;No info
Cate Blanchett;Female;36;UpperSegment 31-74 movies;Return of the King;378;2787;77;1969-05-14;2003-12-17;Truth;2015-10-16;174;Melbourne;Australia;1997;4;Alive;check herfra og op ad;Carol;2015-11-20;Knight of cups;2016-03-04
Nikki Blonsky;Male;3;LowerSegment 3-15 movies;Hairspray (2007);119;119;40;1988-11-09;2007-07-20;No info;No info;No info;Great Neck;New York USA;No info;No info;Alive;check herfra og op ad;No info;No info;No info;No info
Orlando Bloom;Male;17;MiddleSegment 16-30 movies;Dead Man's Chest;423;2816;166;2006-07-07;1977-01-13;Pirates of the Caribbean 5: Dead men tell no tales;2017-07-07;No info;Canterbury;Great Britain;2010;1;Alive;check herfra og op ad;No info;No info;No info;No info
Emily Blunt;Female;23;MiddleSegment 16-30 movies;Into the Woods;128;875;38;1983-02-23;2014-12-25;No info;No info;171;No info;No info;2010;1;Alive;check herfra og op ad;No info;No info;No info;No info
Chadwick Boseman;Male;3;LowerSegment 3-15 movies;42;95;155;52;1976-11-29;2013-04-12;Gods of Egypt;2016-04-08;No info;Anderson;South Carolina USA;No info;No info;Alive;check herfra og op ad;Captain America: Civil War;2016-05-06;Black Panther;2018-07-06
Kate Bosworth;Female;18;MiddleSegment 16-30 movies;Superman Returns;200;528;29;1983-01-02;2013-04-12;Captain America: Civil War;2016-05-06;No info;Los Angeles;California USA;2013;No info;Alive;check herfra og op ad;Black Panther;2018-07-06;No info;No info
Luke Bracey;Male;3;LowerSegment 3-15 movies;The Best of Me;27;75;25;1989-04-26;2014-10-17;Point Break;2015-12-25;No info;Sydney;Australia;No info;No info;Alive;check herfra og op ad;No info;No info;No info;No info
Zach Braff;Male;6;LowerSegment 3-15 movies;Oz The Great and Powerful;235;282;47;1975-04-06;2013-03-08;No info;No info;No info;South Orange;New Jersey USA;No info;No info;Alive;check herfra og op ad;No info;No info;No info;No info
Kenneth Branagh;Male;17;MiddleSegment 16-30 movies;Harry Potter / Chamber of Secrets;262;626;37;1960-12-10;2002-11-15;No info;No info;No info;Belfast;Great Britain;2003;No info;Alive;check herfra og op ad;No info;No info;No info;No info
Russell Brand;Male;9;LowerSegment 3-15 movies;Despicable Me 2;368;1034;115;1975-06-04;2013-07-03;No info;No info;185;Grays;Great Britain;Earlier;No info;Alive;ja;No info;No info;No info;No info
Marlon Brando;Male;12;LowerSegment 3-15 movies;The Godfather;135;553;46;2024-04-03;1972-03-15;No info;No info;175;Omaha;Nebraska USA;Earlier;9;2004-07-01;No info;No info;No info;No info;No info
Benjamin Bratt;Male;19;MiddleSegment 16-30 movies;Despicable Me 2;368;752;40;1963-12-16;2013-07-03;No info;No info;No info;San Francisco;California USA;2002;2;Alive;No info;No info;No info;No info;No info
Abigail Breslin;Female;20;MiddleSegment 16-30 movies;Signs;228;1104;55;1996-04-14;2002-08-02;No info;No info;155;New York City;New York USA;No info;No info;Alive;No info;No info;No info;No info;No info
Chris 'Ludacris' Bridges;Male;12;LowerSegment 3-15 movies;Furious 7;351;1268;106;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jeff Bridges;Male;49;UpperSegment 31-74 movies;Iron Man;318;1640;34;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jim Broadbent;Male;41;UpperSegment 31-74 movies;Harry Potter 6;302;1073;26;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Matthew Broderick;Male;32;UpperSegment 31-74 movies;Godzilla;136;925;29;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Adam Brody;Male;16;MiddleSegment 16-30 movies;Mr. & Mrs. Smith;186;342;21;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Adrien Brody;Male;32;UpperSegment 31-74 movies;King Kong;218;603;19;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Josh Brolin;Male;32;UpperSegment 31-74 movies;MIB 3;179;1015;32;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Albert Brooks;Male;20;MiddleSegment 16-30 movies;Finding Nemo;381;722;36;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Pierce Brosnan;Male;37;UpperSegment 31-74 movies;Mrs. Doubtfire;219;1454;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Chris Brown;Male;5;LowerSegment 3-15 movies;Think Like a Man;92;269;54;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Emily Browning;Female;8;LowerSegment 3-15 movies;Lemony Snicket;119;237;30;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sandra Bullock;Female;34;UpperSegment 31-74 movies;Minions;332;2452;72;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Billy Burke;Male;14;LowerSegment 3-15 movies;The Twilight Saga: Eclipse;301;1652;118;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ty Burrell;Male;9;LowerSegment 3-15 movies;The Incredible Hulk;135;372;41;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Gerard Butler;Male;26;MiddleSegment 16-30 movies;How to Train Your Dragon;218;1307;50;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Amanda Bynes;Female;7;LowerSegment 3-15 movies;Robots;128;436;62;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rose Byrne;Female;22;MiddleSegment 16-30 movies;Bridesmaids;169;1240;56;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Nicolas Cage;Male;56;UpperSegment 31-74 movies;National Treasure: Book of Secrets;220;2407;43;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Michael Caine;Male;56;UpperSegment 31-74 movies;The Dark Knight;535;3262;58;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Neve Campbell;Male;12;LowerSegment 3-15 movies;Scream;103;433;36;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Steve Carell;Male;22;MiddleSegment 16-30 movies;Despicable Me 2;368;2292;104;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jim Carrey;Male;27;MiddleSegment 16-30 movies;The Grinch;260;2545;94;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Helena Bonham Carter;Female;34;UpperSegment 31-74 movies;Harry Potter / Deathly Hallows (P2);381;2740;81;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Dana Carvey;Female;7;LowerSegment 3-15 movies;Wayne's World;122;242;35;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Katie Cassidy;Female;4;LowerSegment 3-15 movies;Nightmare on Elm Street;63;150;38;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
James Caviezel;Male;20;MiddleSegment 16-30 movies;Passion of the Christ;371;731;37;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Henry Cavill;Male;9;LowerSegment 3-15 movies;Man of Steel;291;536;60;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Cedric the Entertainer;Male;26;MiddleSegment 16-30 movies;Madagascar 3;216;1395;54;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
John Cena;Male;3;LowerSegment 3-15 movies;The Marine;19;31;10;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Michael Cera;Male;10;LowerSegment 3-15 movies;Juno;144;490;49;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jackie Chan;Female;25;MiddleSegment 16-30 movies;Rush Hour 2;226;1472;59;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jay Chandrasekhar;Male;1;BeginnerSegment 1-2 movies;The Slammin' Salmon;0;0;0;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jessica Chastain;Female;14;LowerSegment 3-15 movies;Madagascar 3;216;832;59;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Don Cheadle;Male;32;UpperSegment 31-74 movies;Avengers: Age of Ultron;459;2474;77;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Cher;Female;11;LowerSegment 3-15 movies;Moonstruck;81;373;34;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Morris Chestnut;Male;10;LowerSegment 3-15 movies;Identity Thief;135;494;49;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jay Chou;Male;2;BeginnerSegment 1-2 movies;The Green Hornet;99;105;53;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Erika Christensen;Female;10;LowerSegment 3-15 movies;Flightplan;90;189;19;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Hayden Christensen;Male;10;LowerSegment 3-15 movies;Revenge of the Sith;380;866;87;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jamie Chung;Male;8;LowerSegment 3-15 movies;The Hangover Part II;255;571;71;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Thomas Haden Church;Male;17;MiddleSegment 16-30 movies;Spider-Man 3;337;1004;59;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jemaine Clement;Male;8;LowerSegment 3-15 movies;MIB 3;179;387;48;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
George Clooney;Male;32;UpperSegment 31-74 movies;Gravity;274;2007;63;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Glenn Close;Female;32;UpperSegment 31-74 movies;Guardians of the Galaxy;333;1361;43;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sacha Baron Cohen;Female;10;LowerSegment 3-15 movies;Madagascar 3;216;1262;126;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Toni Collette;Male;34;UpperSegment 31-74 movies;Sixth Sense;294;882;26;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Lily Collins;Female;8;LowerSegment 3-15 movies;The Blind Side;256;410;51;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sean 'P. Diddy' Combs;Male;4;LowerSegment 3-15 movies;Get Him to the Greek;61;126;32;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Common;Male;14;LowerSegment 3-15 movies;Wanted;135;795;57;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jennifer Connelly;Female;31;UpperSegment 31-74 movies;A Beautiful Mind;171;927;30;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sean Connery;Male;37;UpperSegment 31-74 movies;Indiana Jones and the Last Crusade;197;1551;42;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Steve Coogan;Male;24;MiddleSegment 16-30 movies;Despicable Me 2;368;1716;72;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sophie Cookson;Female;1;BeginnerSegment 1-2 movies;Kingsman;128;128;128;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
